,name,accuracy,class,game_desc,effect_chance,generation,machines,crit_rate,type,power,pp,priority
75,solar-beam,100,special,"A two-turn attack. The user gathers
light, then blasts a bundled beam on the
next turn.","Inflicts regular damage.  User charges for one turn before attacking.

During sunny day, the charge turn is skipped.

During hail, rain dance, or sandstorm, power is halved.

This move cannot be selected by sleep talk.",1,tm45,0,grass,120,10,0
76,poison-powder,75,status,"The user scatters a cloud of poisonous
dust on the target. This may also poison
the target.",Poisons the target.,1,NA,0,poison,NA,35,0
77,stun-spore,75,status,"The user scatters a cloud of numbing
powder that paralyzes the target.",Paralyzes the target.,1,NA,0,grass,NA,30,0
78,sleep-powder,75,status,"The user scatters a big cloud
of sleep-inducing dust
around the target.",Puts the target to sleep.,1,NA,0,grass,NA,15,0
79,petal-dance,100,special,"The user attacks the target by scattering
petals for two to three turns.
The user then becomes confused.","Inflicts regular damage.  User is forced to attack with this move for 2–3 turns,selected at random.  After the last hit, the user becomes confused.

safeguard does not protect against the confusion from this move.",1,NA,0,grass,120,10,0
80,string-shot,95,status,"The opposing Pokémon are bound
with silk blown from the user’s mouth
that harshly lowers the Speed stat.",Lowers the target's Speed by two stages.,1,NA,0,bug,NA,40,0
81,dragon-rage,100,special,"This attack hits the target with a shock
wave of pure rage. This attack always
inflicts 40 HP damage.",Inflicts exactly 40 damage.,1,tm23,0,dragon,NA,10,0
82,fire-spin,85,special,"The target becomes trapped within a
fierce vortex of fire that rages for four
to five turns.","Inflicts regular damage.  For the next 2–5 turns, the target cannot leave the field and is damaged for 1/16 its max HP at the end of each turn.  The user continues to use other moves during this time.  If the user leaves the field, this effect ends.

Has a 3/8 chance each to hit 2 or 3 times, and a 1/8 chance each to hit 4 or 5 times.  Averages to 3 hits per use.

rapid spin cancels this effect.",1,0,0,fire,35,15,0
83,thunder-shock,100,special,"A jolt of electricity crashes down on
the target to inflict damage. This may
also leave the target with paralysis.",Inflicts regular damage.  Has a 10% chance to paralyze the target.,1,NA,0,electric,40,30,0
84,thunderbolt,100,special,"A strong electric blast crashes down on the
target. This may also leave the target
with paralysis.",Inflicts regular damage.  Has a 10% chance to paralyze the target.,1,tm36,0,electric,90,15,0
85,thunder-wave,90,status,"The user launches a weak jolt
of electricity that paralyzes the target.",Paralyzes the target.,1,tm73,0,electric,NA,20,0
86,thunder,70,special,"A wicked thunderbolt is dropped
on the target to inflict damage.
This may also leave the target with paralysis.","Inflicts regular damage.  Has a 30% chance to paralyze the target.

During rain dance, this move has 100% accuracy.  It also has a (100 - accuracy)% chance to break through the protection of protect and detect.

During sunny day, this move has 50% accuracy.",1,tm38,0,electric,110,10,0
87,rock-throw,90,physical,"The user picks up and throws a small
rock at the target to attack.",Inflicts regular damage.,1,NA,0,rock,50,15,0
88,earthquake,100,physical,"The user sets off an earthquake that
strikes every Pokémon around it.
","Inflicts regular damage.

If the target is in the first turn of dig, this move will hit with double power.",1,tm41,0,ground,100,10,0
89,fissure,30,physical,"The user opens up a fissure in the ground
and drops the target in.
The target faints instantly if this attack hits.","Inflicts damage equal to the target's max HP.  Ignores accuracy and evasion modifiers.  This move's accuracy is 30% plus 1% for each level the user is higher than the target.  If the user is a lower level than the target, this move will fail.

Because this move inflicts a specific and finite amount of damage, endure still prevents the target from fainting.

The effects of lock on, mind reader, and no guard still apply, as long as the user is equal or higher level than the target.  However, they will not give this move a chance to break through detect or protect.",1,tm27,0,ground,NA,5,0
90,dig,100,physical,"The user burrows, then attacks
on the next turn.
It can also be used to exit dungeons.","Inflicts regular damage.  User digs underground for one turn, becoming immune to attack, and hits on the second turn.

During the immune turn, earthquake, fissure, and magnitude still hit the user normally, and their power is doubled if appropriate.

The user may be hit during its immune turn if under the effect of lock on, mind reader, or no guard.

This move cannot be selected by sleep talk.",1,tm28,0,ground,80,10,0
91,toxic,90,status,"A move that leaves the target
badly poisoned.
Its poison damage worsens every turn.",Badly poisons the target.  Never misses when used by a poison-type Pokémon.,1,tm27,0,poison,NA,10,0
92,confusion,100,special,"The target is hit by a weak telekinetic
force. This may also confuse the target.",Inflicts regular damage.  Has a 10% chance to confuse the target.,1,NA,0,psychic,50,25,0
93,psychic,100,special,"The target is hit by a strong telekinetic
force. This may also lower the target’s
Sp. Def stat.",Inflicts regular damage.  Has a 10% chance to lower the target's Special Defense by one stage.,1,tm40,0,psychic,90,10,0
94,hypnosis,60,status,"The user employs hypnotic suggestion
to make the target fall into a deep sleep.",Puts the target to sleep.,1,NA,0,psychic,NA,20,0
95,meditate,NA,status,"The user meditates to awaken the power
deep within its body and raise its
Attack stat.",Raises the user's Attack by one stage.,1,NA,0,psychic,NA,40,0
96,agility,NA,status,"The user relaxes and lightens its body to
move faster. This sharply raises the Speed stat.",Raises the user's Speed by two stages.,1,0,0,psychic,NA,30,0
97,quick-attack,100,physical,"The user lunges at the target at a speed
that makes it almost invisible.
This move always goes first.",Inflicts regular damage.,1,NA,0,normal,40,30,1
98,rage,100,physical,"As long as this move is in use, the power
of rage raises the Attack stat each
time the user is hit in battle.","Inflicts regular damage.  Every time the user is hit after it uses this move but before its next action, its Attack raises by one stage.",1,tm20,0,normal,20,20,0
99,teleport,NA,status,"Use it to flee from any wild Pokémon.
It can also warp to the last Pokémon
Center visited.",Does nothing.  Wild battles end immediately.,1,tm30,0,psychic,NA,20,-6
100,night-shade,100,special,"The user makes the target see a
frightening mirage. It inflicts damage
equal to the user’s level.","Inflicts damage equal to the user's level.  Type immunity applies, but other type effects are ignored.",1,NA,0,ghost,NA,15,0
101,mimic,NA,status,"The user copies the target’s last move.
The move can be used during battle
until the Pokémon is switched out.","This move is replaced by the target's last successfully used move, and its PP changes to 5.  If the target hasn't used a move since entering the field, if it tried to use a move this turn and failed, or if the user already knows the targeted move, this move will fail.  This effect vanishes when the user leaves the field.

If chatter, metronome, mimic, sketch, or struggle is selected, this move will fail.

This move cannot be copied by mirror move, nor selected by assist or metronome, nor forced by encore.",1,tm31,0,normal,NA,10,0
102,screech,85,status,"An earsplitting screech harshly reduces
the target’s Defense stat.",Lowers the target's Defense by two stages.,1,0,0,normal,NA,40,0
103,double-team,NA,status,"By moving rapidly, the user makes illusory
copies of itself to raise its evasiveness.",Raises the user's evasion by one stage.,1,tm32,0,normal,NA,15,0
104,recover,NA,status,"Restoring its own cells, the user
restores its own HP by half of
its max HP.",Heals the user for half its max HP.,1,NA,0,normal,NA,10,0
105,harden,NA,status,"The user stiffens all the muscles in its
body to raise its Defense stat.",Raises the user's Defense by one stage.,1,NA,0,normal,NA,30,0
106,minimize,NA,status,"The user compresses its body
to make itself look smaller,
which sharply raises its evasiveness.","Raises the user's evasion by two stages.

stomp and steamroller have double power against Pokémon that have used this move since entering the field.",1,NA,0,normal,NA,10,0
107,smokescreen,100,status,"The user releases an obscuring cloud
of smoke or ink. This lowers the
target’s accuracy.",Lowers the target's accuracy by one stage.,1,NA,0,normal,NA,20,0
108,confuse-ray,100,status,"The target is exposed to a sinister
ray that triggers confusion.",Confuses the target.,1,NA,0,ghost,NA,10,0
109,withdraw,NA,status,"The user withdraws its body into its hard
shell, raising its Defense stat.",Raises the user's Defense by one stage.,1,NA,0,water,NA,40,0
110,defense-curl,NA,status,"The user curls up to conceal weak spots
and raise its Defense stat.","Raises user's Defense by one stage.

After this move is used, the power of ice ball and rollout are doubled until the user leaves the field.",1,tm40,0,normal,NA,40,0
111,barrier,NA,status,"The user throws up a sturdy wall that
sharply raises its Defense stat.",Raises the user's Defense by two stages.,1,NA,0,psychic,NA,20,0
112,light-screen,NA,status,"A wondrous wall of light is put up to
reduce damage from special attacks
for five turns.","Erects a barrier around the user's side of the field that reduces damage from special attacks by half for five turns.  In double battles, the reduction is 1/3.  Critical hits are not affected by the barrier.

If the user is holding light clay, the barrier lasts for eight turns.

brick break or defog used by an opponent will destroy the barrier.",1,tm16,0,psychic,NA,30,0
113,haze,NA,status,"The user creates a haze that eliminates
every stat change among all the Pokémon
engaged in battle.","Removes stat, accuracy, and evasion modifiers from every Pokémon on the field.

This does not count as a stat reduction for the purposes of clear body or white smoke.",1,NA,0,ice,NA,30,0
114,reflect,NA,status,"A wondrous wall of light is put up to
reduce damage from physical attacks
for five turns.","Erects a barrier around the user's side of the field that reduces damage from physical attacks by half for five turns.  In double battles, the reduction is 1/3.  Critical hits are not affected by the barrier.

If the user is holding light clay, the barrier lasts for eight turns.

brick break or defog used by an opponent will destroy the barrier.",1,tm33,0,psychic,NA,20,0
115,focus-energy,NA,status,"The user takes a deep breath and
focuses so that critical hits land
more easily.","User's critical hit rate is two levels higher until it leaves the field.  If the user has already used focus energy since entering the field, this move will fail.

This effect is passed on by baton pass.",1,0,0,normal,NA,30,0
116,bide,NA,physical,"The user endures attacks for two
turns, then strikes back to cause
double the damage taken.","User waits for two turns.  On the second turn, the user inflicts twice the damage it accumulated on the last Pokémon to hit it.  Damage inflicted is typeless.

This move cannot be selected by sleep talk.",1,tm34,0,normal,NA,10,1
117,metronome,NA,status,"The user waggles a finger and stimulates
its brain into randomly using nearly
any move.","Selects any move at random and uses it.  Moves the user already knows are not eligible.  Assist, meta, protection, and reflection moves are also not eligible; specifically, assist, chatter, copycat, counter, covet, destiny bond, detect, endure, feint, focus punch, follow me, helping hand, me first, metronome, mimic, mirror coat, mirror move, protect, quick guard, sketch, sleep talk, snatch, struggle, switcheroo, thief, trick, and wide guard will not be selected by this move.

This move cannot be copied by mimic or mirror move, nor selected by assist, metronome, or sleep talk.",1,tm35,0,normal,NA,10,0
118,mirror-move,NA,status,"The user counters the target by mimicking
the target’s last move.","Uses the last move targeted at the user by a Pokémon still on the field.  A move counts as targeting the user even if it hit multiple Pokémon, as long as the user was one of them; however, moves targeting the field itself do not count.  If the user has not been targeted by an appropriate move since entering the field, or if no Pokémon that targeted the user remains on the field, this move will fail.

Moves that failed, missed, had no effect, or were blocked are still copied.

Assist moves, time-delayed moves, “meta” moves that operate on other moves/Pokémon/abilities, and some other special moves cannot be copied and are ignored; if the last move to hit the user was such a move, the previous move will be used instead.  The full list of ignored moves is: acid armor, acupressure, after you, agility, ally switch, amnesia, aqua ring, aromatherapy, aromatic mist, assist, autotomize, barrier, baton pass, belch, belly drum, bide, bulk up, calm mind, camouflage, celebrate, charge, coil, conversion, conversion 2, copycat, cosmic power, cotton guard, counter, crafty shield, curse, defend order, defense curl, destiny bond, detect, doom desire, double team, dragon dance, electric terrain, endure, final gambit, flower shield, focus energy, focus punch, follow me, future sight, geomancy, grassy terrain, gravity, growth, grudge, guard split, hail, happy hour, harden, haze, heal bell, heal order, heal pulse, healing wish, helping hand, hold hands, hone claws, howl, imprison, ingrain, ion deluge, iron defense, kings shield, light screen, lucky chant, lunar dance, magic coat, magnet rise, magnetic flux, mat block, me first, meditate, metronome, milk drink, mimic, minimize, mirror coat, mirror move, mist, misty terrain, moonlight, morning sun, mud sport, nasty plot, nature power, perish song, power split, power trick, protect, psych up, quick guard, quiver dance, rage powder, rain dance, recover, recycle, reflect, reflect type, refresh, rest, rock polish, role play, roost, rototiller, safeguard, sandstorm, shadow blast, shadow bolt, shadow half, shadow rush, shadow shed, shadow sky, shadow storm, shadow wave, sharpen, shell smash, shift gear, sketch, slack off, sleep talk, snatch, soft boiled, spikes, spiky shield, spit up, splash, stealth rock, sticky web, stockpile, struggle, substitute, sunny day, swallow, swords dance, synthesis, tail glow, tailwind, teleport, toxic spikes, transform, water sport, wide guard, wish, withdraw and work up.

This move cannot be selected by assist, metronome, or sleep talk, nor forced by encore.",1,NA,0,flying,NA,20,0
119,self-destruct,100,physical,"The user attacks everything around it
by causing an explosion.
The user faints upon using this move.","User faints, even if the attack fails or misses.  Inflicts regular damage.",1,tm42,0,normal,200,5,0
120,egg-bomb,75,physical,"A large egg is hurled at the target
with maximum force to inflict damage.",Inflicts regular damage.,1,tm37,0,normal,100,10,0
121,lick,100,physical,"The target is licked with a long tongue,
causing damage. This may also leave
the target with paralysis.",Inflicts regular damage.  Has a 30% chance to paralyze the target.,1,NA,0,ghost,30,30,0
