,name,pokedex_id,attack,special-attack,defense,special-defense,speed,hp,type1,type2,list_of_moves,ability_name,height,weight,generation,evolutions
176,natu,177,50,70,45,45,70,40,psychic,flying,"[('double-edge', 'tutor'), ('leer', 1), ('peck', 1), ('drill-peck', 'egg'), ('solar-beam', 'machine'), ('thunder-wave', 'machine'), ('toxic', 'machine'), ('psychic', 'machine'), ('quick-attack', 'egg'), ('teleport', 20), ('night-shade', 10), ('mimic', 'tutor'), ('double-team', 'machine'), ('confuse-ray', 40), ('light-screen', 'machine'), ('haze', 'egg'), ('reflect', 'machine'), ('swift', 'machine'), ('dream-eater', 'machine'), ('sky-attack', 'tutor'), ('flash', 'machine'), ('rest', 'machine'), ('substitute', 'machine'), ('thief', 'machine'), ('nightmare', 'machine'), ('snore', 'machine'), ('curse', 'machine'), ('protect', 'machine'), ('feint-attack', 'egg'), ('detect', 'machine'), ('giga-drain', 'machine'), ('endure', 'machine'), ('swagger', 'machine'), ('steel-wing', 'machine'), ('attract', 'machine'), ('sleep-talk', 'machine'), ('return', 'machine'), ('frustration', 'machine'), ('pain-split', 'tutor'), ('baton-pass', 'machine'), ('hidden-power', 'machine'), ('twister', 'tutor'), ('rain-dance', 'machine'), ('sunny-day', 'machine'), ('psych-up', 'machine'), ('shadow-ball', 'machine'), ('future-sight', 'machine'), ('heat-wave', 'machine'), ('facade', 'machine'), ('trick', 'machine'), ('wish', 30), ('magic-coat', 'tutor'), ('skill-swap', 'machine'), ('imprison', 'machine'), ('refresh', 'egg'), ('secret-power', 'machine'), ('feather-dance', 'egg'), ('air-cutter', 'tutor'), ('silver-wind', 'machine'), ('cosmic-power', 'machine'), ('signal-beam', 'tutor'), ('aerial-ace', 'machine'), ('calm-mind', 'machine'), ('roost', 'egg'), ('miracle-eye', 17), ('natural-gift', 'machine'), ('pluck', 'machine'), ('tailwind', 'tutor'), ('u-turn', 'machine'), ('psycho-shift', 33), ('lucky-chant', 12), ('me-first', 20), ('power-swap', 'machine'), ('guard-swap', 'machine'), ('sucker-punch', 'egg'), ('air-slash', 'machine'), ('zen-headbutt', 'machine'), ('trick-room', 'machine'), ('captivate', 'machine'), ('grass-knot', 'machine'), ('ominous-wind', 'tutor'), ('psyshock', 'machine'), ('telekinesis', 'tutor'), ('magic-room', 'machine'), ('synchronoise', 'egg'), ('simple-beam', 'egg'), ('round', 'machine'), ('stored-power', 'machine'), ('ally-switch', 'machine')]",[],2,20,2,"[('natu', '', 0), ('xatu', 'level-up(25)', 1)]"
177,xatu,178,75,95,70,70,95,65,psychic,flying,"[('fly', 'machine'), ('double-edge', 'tutor'), ('leer', 1), ('hyper-beam', 'machine'), ('peck', 1), ('solar-beam', 'machine'), ('thunder-wave', 'machine'), ('toxic', 'machine'), ('psychic', 'machine'), ('teleport', 20), ('night-shade', 1), ('mimic', 'tutor'), ('double-team', 'machine'), ('confuse-ray', 50), ('light-screen', 'machine'), ('reflect', 'machine'), ('swift', 'machine'), ('dream-eater', 'machine'), ('sky-attack', 'tutor'), ('flash', 'machine'), ('rest', 'machine'), ('substitute', 'machine'), ('thief', 'machine'), ('nightmare', 'machine'), ('snore', 'machine'), ('curse', 'machine'), ('protect', 'machine'), ('detect', 'machine'), ('giga-drain', 'machine'), ('endure', 'machine'), ('swagger', 'machine'), ('steel-wing', 'machine'), ('attract', 'machine'), ('sleep-talk', 'machine'), ('return', 'machine'), ('frustration', 'machine'), ('pain-split', 'tutor'), ('baton-pass', 'machine'), ('hidden-power', 'machine'), ('twister', 'tutor'), ('rain-dance', 'machine'), ('sunny-day', 'machine'), ('psych-up', 'machine'), ('shadow-ball', 'machine'), ('future-sight', 'machine'), ('heat-wave', 'machine'), ('facade', 'machine'), ('trick', 'machine'), ('wish', 35), ('magic-coat', 'tutor'), ('skill-swap', 'machine'), ('imprison', 'machine'), ('secret-power', 'machine'), ('air-cutter', 'tutor'), ('silver-wind', 'machine'), ('cosmic-power', 'machine'), ('signal-beam', 'tutor'), ('aerial-ace', 'machine'), ('calm-mind', 'machine'), ('roost', 'machine'), ('miracle-eye', 17), ('natural-gift', 'machine'), ('pluck', 'machine'), ('tailwind', 'tutor'), ('u-turn', 'machine'), ('psycho-shift', 37), ('lucky-chant', 12), ('me-first', 20), ('power-swap', 'machine'), ('guard-swap', 'machine'), ('sucker-punch', 'tutor'), ('air-slash', 'machine'), ('giga-impact', 'machine'), ('zen-headbutt', 'machine'), ('defog', 'tutor'), ('trick-room', 'machine'), ('captivate', 'machine'), ('grass-knot', 'machine'), ('ominous-wind', 'tutor'), ('psyshock', 'machine'), ('telekinesis', 'tutor'), ('magic-room', 'machine'), ('foul-play', 'machine'), ('round', 'machine'), ('stored-power', 'machine'), ('ally-switch', 'machine')]",[],15,150,2,"[('natu', '', 0), ('xatu', 'level-up(25)', 1)]"
178,mareep,179,40,65,40,45,35,55,electric,electric,"[('sand-attack', 'egg'), ('headbutt', 'tutor'), ('tackle', 1), ('body-slam', 'egg'), ('take-down', 'egg'), ('double-edge', 'tutor'), ('growl', 1), ('thunder-shock', 9), ('thunderbolt', 'machine'), ('thunder-wave', 'machine'), ('thunder', 'machine'), ('toxic', 'machine'), ('agility', 'egg'), ('mimic', 'tutor'), ('screech', 'egg'), ('double-team', 'machine'), ('confuse-ray', 25), ('defense-curl', 'tutor'), ('light-screen', 'machine'), ('reflect', 'egg'), ('swift', 'tutor'), ('flash', 'machine'), ('rest', 'machine'), ('substitute', 'machine'), ('snore', 'tutor'), ('curse', 'machine'), ('cotton-spore', 23), ('protect', 'machine'), ('zap-cannon', 'machine'), ('endure', 'machine'), ('swagger', 'machine'), ('attract', 'machine'), ('sleep-talk', 'machine'), ('heal-bell', 'tutor'), ('return', 'machine'), ('frustration', 'machine'), ('safeguard', 'machine'), ('iron-tail', 'tutor'), ('hidden-power', 'machine'), ('rain-dance', 'machine'), ('flatter', 'egg'), ('facade', 'machine'), ('charge', 'egg'), ('secret-power', 'machine'), ('odor-sleuth', 'egg'), ('signal-beam', 'tutor'), ('shock-wave', 'tutor'), ('natural-gift', 'machine'), ('magnet-rise', 'tutor'), ('power-gem', 41), ('discharge', 28), ('captivate', 'machine'), ('charge-beam', 'machine'), ('electro-ball', 28), ('after-you', 'tutor'), ('round', 'machine'), ('echoed-voice', 'machine'), ('electroweb', 'tutor'), ('wild-charge', 'machine'), ('cotton-guard', 32)]",[],6,78,2,"[('mareep', '', 0), ('flaaffy', 'level-up(15)', 1), ('ampharos', 'level-up(30)', 2)]"
179,flaaffy,180,55,80,55,60,45,70,electric,electric,"[('mega-punch', 'tutor'), ('fire-punch', 'tutor'), ('thunder-punch', 'tutor'), ('mega-kick', 'tutor'), ('headbutt', 'tutor'), ('tackle', 1), ('body-slam', 'tutor'), ('take-down', 20), ('double-edge', 'tutor'), ('growl', 1), ('counter', 'tutor'), ('seismic-toss', 'tutor'), ('strength', 'machine'), ('thunder-shock', 1), ('thunderbolt', 'machine'), ('thunder-wave', 'machine'), ('thunder', 'machine'), ('toxic', 'machine'), ('mimic', 'tutor'), ('double-team', 'machine'), ('confuse-ray', 29), ('defense-curl', 'tutor'), ('light-screen', 'machine'), ('swift', 'tutor'), ('flash', 'machine'), ('rest', 'machine'), ('substitute', 'machine'), ('snore', 'tutor'), ('curse', 'machine'), ('cotton-spore', 27), ('protect', 'machine'), ('zap-cannon', 'machine'), ('endure', 'machine'), ('swagger', 'machine'), ('attract', 'machine'), ('sleep-talk', 'machine'), ('heal-bell', 'tutor'), ('return', 'machine'), ('frustration', 'machine'), ('safeguard', 'machine'), ('dynamic-punch', 'tutor'), ('iron-tail', 'tutor'), ('hidden-power', 'machine'), ('rain-dance', 'machine'), ('rock-smash', 'machine'), ('facade', 'machine'), ('focus-punch', 'tutor'), ('charge', 25), ('brick-break', 'machine'), ('secret-power', 'machine'), ('signal-beam', 'tutor'), ('shock-wave', 'tutor'), ('natural-gift', 'machine'), ('fling', 'machine'), ('magnet-rise', 'tutor'), ('power-gem', 47), ('discharge', 31), ('captivate', 'machine'), ('charge-beam', 'machine'), ('electro-ball', 31), ('after-you', 'tutor'), ('round', 'machine'), ('echoed-voice', 'machine'), ('volt-switch', 'machine'), ('electroweb', 'tutor'), ('wild-charge', 'machine'), ('cotton-guard', 36)]",[],8,133,2,"[('mareep', '', 0), ('flaaffy', 'level-up(15)', 1), ('ampharos', 'level-up(30)', 2)]"
180,ampharos,181,75,115,85,90,55,90,electric,electric,"[('mega-punch', 'tutor'), ('fire-punch', 'tutor'), ('thunder-punch', 'tutor'), ('mega-kick', 'tutor'), ('headbutt', 'tutor'), ('tackle', 1), ('body-slam', 'tutor'), ('take-down', 20), ('double-edge', 'tutor'), ('growl', 1), ('hyper-beam', 'machine'), ('counter', 'tutor'), ('seismic-toss', 'tutor'), ('strength', 'machine'), ('thunder-shock', 1), ('thunderbolt', 'machine'), ('thunder-wave', 'machine'), ('thunder', 'machine'), ('toxic', 'machine'), ('mimic', 'tutor'), ('double-team', 'machine'), ('confuse-ray', 29), ('defense-curl', 'tutor'), ('light-screen', 'machine'), ('swift', 'tutor'), ('flash', 'machine'), ('rest', 'machine'), ('substitute', 'machine'), ('snore', 'tutor'), ('curse', 'machine'), ('cotton-spore', 27), ('protect', 'machine'), ('zap-cannon', 'machine'), ('outrage', 'tutor'), ('endure', 'machine'), ('swagger', 'machine'), ('attract', 'machine'), ('sleep-talk', 'machine'), ('heal-bell', 'tutor'), ('return', 'machine'), ('frustration', 'machine'), ('safeguard', 'machine'), ('dynamic-punch', 'tutor'), ('iron-tail', 'tutor'), ('hidden-power', 'machine'), ('rain-dance', 'machine'), ('rock-smash', 'machine'), ('facade', 'machine'), ('focus-punch', 'tutor'), ('charge', 25), ('brick-break', 'machine'), ('secret-power', 'machine'), ('signal-beam', 'tutor'), ('shock-wave', 'tutor'), ('natural-gift', 'machine'), ('fling', 'machine'), ('magnet-rise', 'tutor'), ('dragon-pulse', 'tutor'), ('power-gem', 59), ('focus-blast', 'machine'), ('giga-impact', 'machine'), ('rock-climb', 'machine'), ('discharge', 34), ('captivate', 'machine'), ('charge-beam', 'machine'), ('electro-ball', 33), ('after-you', 'tutor'), ('round', 'machine'), ('echoed-voice', 'machine'), ('volt-switch', 'machine'), ('bulldoze', 'machine'), ('electroweb', 'tutor'), ('wild-charge', 'machine'), ('cotton-guard', 40)]",[],14,615,2,"[('mareep', '', 0), ('flaaffy', 'level-up(15)', 1), ('ampharos', 'level-up(30)', 2)]"
181,bellossom,182,80,90,95,100,50,75,grass,grass,"[('swords-dance', 'machine'), ('cut', 'machine'), ('double-edge', 'tutor'), ('acid', 1), ('hyper-beam', 'machine'), ('absorb', 1), ('mega-drain', 1), ('growth', 1), ('solar-beam', 'machine'), ('poison-powder', 1), ('stun-spore', 1), ('sleep-powder', 1), ('petal-dance', 1), ('toxic', 'machine'), ('mimic', 'tutor'), ('double-team', 'machine'), ('flash', 'machine'), ('rest', 'machine'), ('substitute', 'machine'), ('snore', 'machine'), ('curse', 'machine'), ('protect', 'machine'), ('sludge-bomb', 'machine'), ('giga-drain', 'machine'), ('endure', 'machine'), ('charm', 'machine'), ('swagger', 'machine'), ('attract', 'machine'), ('sleep-talk', 'machine'), ('return', 'machine'), ('frustration', 'machine'), ('safeguard', 'machine'), ('baton-pass', 'machine'), ('sweet-scent', 'machine'), ('synthesis', 'tutor'), ('moonlight', 1), ('hidden-power', 'machine'), ('sunny-day', 'machine'), ('uproar', 'machine'), ('facade', 'machine'), ('nature-power', 'machine'), ('helping-hand', 'machine'), ('secret-power', 'machine'), ('bullet-seed', 'machine'), ('magical-leaf', 'machine'), ('leaf-blade', 'machine'), ('natural-gift', 'machine'), ('fling', 'machine'), ('gastro-acid', 'tutor'), ('worry-seed', 'tutor'), ('seed-bomb', 'machine'), ('drain-punch', 'machine'), ('energy-ball', 'machine'), ('giga-impact', 'machine'), ('leaf-storm', 'machine'), ('captivate', 'machine'), ('grass-knot', 'machine'), ('venoshock', 'machine'), ('quiver-dance', 39), ('after-you', 'tutor'), ('round', 'machine')]",[],4,58,2,"[('oddish', '', 0), ('gloom', 'level-up(21)', 1), ('vileplume', 'use-item/condition', 2), ('bellossom', 'use-item/condition', 2)]"
182,marill,183,20,20,50,50,40,70,water,fairy,"[('mega-punch', 'machine'), ('ice-punch', 'machine'), ('slam', 12), ('mega-kick', 'machine'), ('headbutt', 'tutor'), ('tackle', 1), ('body-slam', 'machine'), ('double-edge', 'tutor'), ('tail-whip', 6), ('sing', 'egg'), ('supersonic', 'egg'), ('water-gun', 10), ('hydro-pump', 'machine'), ('surf', 'machine'), ('ice-beam', 'machine'), ('blizzard', 'machine'), ('bubble-beam', 21), ('seismic-toss', 'tutor'), ('strength', 'machine'), ('dig', 'machine'), ('toxic', 'machine'), ('mimic', 'tutor'), ('double-team', 'machine'), ('defense-curl', 'tutor'), ('light-screen', 'machine'), ('waterfall', 'machine'), ('swift', 'machine'), ('amnesia', 'machine'), ('bubble', 1), ('rest', 'machine'), ('substitute', 'machine'), ('snore', 'machine'), ('curse', 'machine'), ('protect', 'machine'), ('belly-drum', 'egg'), ('mud-slap', 'tutor'), ('foresight', 'egg'), ('perish-song', 'egg'), ('icy-wind', 'machine'), ('endure', 'machine'), ('charm', 'machine'), ('rollout', 'tutor'), ('swagger', 'machine'), ('attract', 'machine'), ('sleep-talk', 'machine'), ('return', 'machine'), ('present', 'egg'), ('frustration', 'machine'), ('dynamic-punch', 'tutor'), ('encore', 'machine'), ('iron-tail', 'machine'), ('hidden-power', 'machine'), ('rain-dance', 'machine'), ('future-sight', 'machine'), ('rock-smash', 'machine'), ('whirlpool', 'machine'), ('uproar', 'machine'), ('hail', 'machine'), ('facade', 'machine'), ('focus-punch', 'tutor'), ('helping-hand', 'machine'), ('superpower', 'machine'), ('brick-break', 'machine'), ('knock-off', 'tutor'), ('refresh', 'egg'), ('secret-power', 'machine'), ('dive', 'machine'), ('camouflage', 'egg'), ('hyper-voice', 'machine'), ('fake-tears', 'machine'), ('tickle', 'egg'), ('muddy-water', 'machine'), ('bounce', 'machine'), ('mud-shot', 'machine'), ('covet', 'tutor'), ('water-sport', 'egg'), ('water-pulse', 'tutor'), ('natural-gift', 'machine'), ('fling', 'machine'), ('copycat', 'egg'), ('aqua-ring', 23), ('aqua-tail', 'tutor'), ('captivate', 'machine'), ('grass-knot', 'machine'), ('aqua-jet', 'egg'), ('soak', 'egg'), ('round', 'machine'), ('scald', 'machine'), ('work-up', 'machine')]",[],4,85,2,"[('azurill', '', 0), ('marill', 'level-up/condition', 1), ('azumarill', 'level-up(18)', 2)]"
183,azumarill,184,50,60,80,80,50,100,water,fairy,"[('mega-punch', 'machine'), ('ice-punch', 'machine'), ('slam', 12), ('mega-kick', 'machine'), ('headbutt', 'tutor'), ('tackle', 1), ('body-slam', 'machine'), ('double-edge', 'tutor'), ('tail-whip', 1), ('water-gun', 1), ('hydro-pump', 'machine'), ('surf', 'machine'), ('ice-beam', 'machine'), ('blizzard', 'machine'), ('bubble-beam', 25), ('hyper-beam', 'machine'), ('seismic-toss', 'tutor'), ('strength', 'machine'), ('dig', 'machine'), ('toxic', 'machine'), ('mimic', 'tutor'), ('double-team', 'machine'), ('defense-curl', 'tutor'), ('light-screen', 'machine'), ('waterfall', 'machine'), ('swift', 'machine'), ('amnesia', 'machine'), ('bubble', 1), ('rest', 'machine'), ('substitute', 'machine'), ('snore', 'machine'), ('curse', 'machine'), ('protect', 'machine'), ('mud-slap', 'tutor'), ('icy-wind', 'machine'), ('endure', 'machine'), ('charm', 'machine'), ('rollout', 'tutor'), ('swagger', 'machine'), ('attract', 'machine'), ('sleep-talk', 'machine'), ('return', 'machine'), ('frustration', 'machine'), ('dynamic-punch', 'tutor'), ('encore', 'machine'), ('iron-tail', 'machine'), ('hidden-power', 'machine'), ('rain-dance', 'machine'), ('future-sight', 'machine'), ('rock-smash', 'machine'), ('whirlpool', 'machine'), ('uproar', 'machine'), ('hail', 'machine'), ('facade', 'machine'), ('focus-punch', 'tutor'), ('helping-hand', 'machine'), ('superpower', 'machine'), ('brick-break', 'machine'), ('knock-off', 'tutor'), ('secret-power', 'machine'), ('dive', 'machine'), ('hyper-voice', 'machine'), ('fake-tears', 'machine'), ('muddy-water', 'machine'), ('bounce', 'machine'), ('mud-shot', 'machine'), ('covet', 'tutor'), ('water-sport', 1), ('water-pulse', 'tutor'), ('natural-gift', 'machine'), ('fling', 'machine'), ('aqua-ring', 27), ('aqua-tail', 'tutor'), ('focus-blast', 'machine'), ('giga-impact', 'machine'), ('captivate', 'machine'), ('grass-knot', 'machine'), ('round', 'machine'), ('scald', 'machine'), ('bulldoze', 'machine'), ('work-up', 'machine')]",[],8,285,2,"[('azurill', '', 0), ('marill', 'level-up/condition', 1), ('azumarill', 'level-up(18)', 2)]"
184,sudowoodo,185,100,30,115,65,30,70,rock,rock,"[('mega-punch', 'machine'), ('fire-punch', 'machine'), ('ice-punch', 'machine'), ('thunder-punch', 'machine'), ('slam', 'level-up'), ('mega-kick', 'machine'), ('headbutt', 'egg'), ('body-slam', 'machine'), ('double-edge', 'tutor'), ('low-kick', 'machine'), ('counter', 'tutor'), ('seismic-toss', 'tutor'), ('strength', 'machine'), ('rock-throw', 1), ('earthquake', 'machine'), ('dig', 'machine'), ('toxic', 'machine'), ('mimic', 'tutor'), ('double-team', 'machine'), ('harden', 'egg'), ('defense-curl', 'egg'), ('self-destruct', 'machine'), ('explosion', 'machine'), ('rest', 'machine'), ('rock-slide', 'machine'), ('substitute', 'machine'), ('thief', 'machine'), ('snore', 'machine'), ('curse', 'egg'), ('flail', 10), ('protect', 'machine'), ('feint-attack', 37), ('mud-slap', 'tutor'), ('sandstorm', 'machine'), ('endure', 'machine'), ('rollout', 'egg'), ('swagger', 'machine'), ('attract', 'machine'), ('sleep-talk', 'machine'), ('return', 'machine'), ('frustration', 'machine'), ('dynamic-punch', 'tutor'), ('hidden-power', 'machine'), ('sunny-day', 'machine'), ('psych-up', 'machine'), ('rock-smash', 'machine'), ('uproar', 'machine'), ('torment', 'machine'), ('facade', 'machine'), ('focus-punch', 'tutor'), ('nature-power', 'machine'), ('taunt', 'machine'), ('helping-hand', 'machine'), ('role-play', 'tutor'), ('brick-break', 'machine'), ('secret-power', 'machine'), ('fake-tears', 'machine'), ('rock-tomb', 'machine'), ('sand-tomb', 'machine'), ('iron-defense', 'machine'), ('block', 'tutor'), ('covet', 'tutor'), ('calm-mind', 'machine'), ('rock-blast', 'machine'), ('hammer-arm', 49), ('natural-gift', 'machine'), ('fling', 'machine'), ('copycat', 1), ('sucker-punch', 'tutor'), ('rock-polish', 'egg'), ('earth-power', 'machine'), ('stone-edge', 'machine'), ('captivate', 'machine'), ('stealth-rock', 'machine'), ('wood-hammer', 1), ('head-smash', 54), ('smack-down', 'machine'), ('foul-play', 'machine'), ('after-you', 'tutor'), ('round', 'machine'), ('bulldoze', 'machine')]",[],12,380,2,"[('bonsly', '', 0), ('sudowoodo', 'level-up/condition', 1)]"
185,politoed,186,75,90,75,100,70,90,water,water,"[('pound', 1), ('double-slap', 1), ('mega-punch', 'machine'), ('ice-punch', 'machine'), ('mega-kick', 'machine'), ('headbutt', 'tutor'), ('body-slam', 'machine'), ('double-edge', 'tutor'), ('water-gun', 1), ('hydro-pump', 'machine'), ('surf', 'machine'), ('ice-beam', 'machine'), ('blizzard', 'machine'), ('bubble-beam', 1), ('hyper-beam', 'machine'), ('counter', 'tutor'), ('seismic-toss', 'tutor'), ('strength', 'machine'), ('earthquake', 'machine'), ('dig', 'machine'), ('toxic', 'machine'), ('psychic', 'machine'), ('hypnosis', 1), ('mimic', 'tutor'), ('screech', 'machine'), ('double-team', 'machine'), ('defense-curl', 'tutor'), ('metronome', 'machine'), ('waterfall', 'machine'), ('rest', 'machine'), ('substitute', 'machine'), ('thief', 'machine'), ('snore', 'machine'), ('curse', 'machine'), ('protect', 'machine'), ('belly-drum', 1), ('mud-slap', 'tutor'), ('perish-song', 1), ('icy-wind', 'machine'), ('detect', 'machine'), ('endure', 'machine'), ('swagger', 'machine'), ('attract', 'machine'), ('sleep-talk', 'machine'), ('return', 'machine'), ('frustration', 'machine'), ('dynamic-punch', 'tutor'), ('encore', 'machine'), ('hidden-power', 'machine'), ('rain-dance', 'machine'), ('rock-smash', 'machine'), ('whirlpool', 'machine'), ('uproar', 'machine'), ('hail', 'machine'), ('facade', 'machine'), ('focus-punch', 'tutor'), ('helping-hand', 'machine'), ('brick-break', 'machine'), ('endeavor', 'tutor'), ('secret-power', 'machine'), ('dive', 'machine'), ('hyper-voice', 'machine'), ('weather-ball', 'machine'), ('muddy-water', 'machine'), ('bounce', 'machine'), ('mud-shot', 'machine'), ('water-pulse', 'tutor'), ('natural-gift', 'machine'), ('payback', 'machine'), ('fling', 'machine'), ('focus-blast', 'machine'), ('earth-power', 'machine'), ('giga-impact', 'machine'), ('captivate', 'machine'), ('round', 'machine'), ('echoed-voice', 'machine'), ('scald', 'machine'), ('bulldoze', 'machine')]",[],11,339,2,"[('poliwag', '', 0), ('poliwhirl', 'level-up(25)', 1), ('poliwrath', 'use-item/condition', 2), ('politoed', 'trade/condition', 2)]"
186,hoppip,187,35,35,40,55,50,35,grass,flying,"[('pay-day', 'egg'), ('swords-dance', 'machine'), ('headbutt', 'tutor'), ('tackle', 10), ('double-edge', 'egg'), ('tail-whip', 5), ('growl', 'egg'), ('absorb', 1), ('mega-drain', 30), ('leech-seed', 20), ('solar-beam', 'machine'), ('poison-powder', 13), ('stun-spore', 15), ('sleep-powder', 17), ('toxic', 'machine'), ('confusion', 'egg'), ('mimic', 'tutor'), ('double-team', 'machine'), ('defense-curl', 'tutor'), ('reflect', 'machine'), ('amnesia', 'egg'), ('flash', 'machine'), ('splash', 1), ('rest', 'machine'), ('substitute', 'machine'), ('snore', 'tutor'), ('curse', 'machine'), ('cotton-spore', 25), ('protect', 'machine'), ('giga-drain', 'tutor'), ('endure', 'egg'), ('swagger', 'machine'), ('attract', 'machine'), ('sleep-talk', 'machine'), ('return', 'machine'), ('frustration', 'machine'), ('encore', 'egg'), ('sweet-scent', 'machine'), ('synthesis', 'tutor'), ('hidden-power', 'machine'), ('sunny-day', 'machine'), ('psych-up', 'machine'), ('memento', 43), ('facade', 'machine'), ('helping-hand', 'tutor'), ('secret-power', 'machine'), ('aromatherapy', 'egg'), ('silver-wind', 'machine'), ('bullet-seed', 'machine'), ('aerial-ace', 'machine'), ('bounce', 'tutor'), ('natural-gift', 'machine'), ('u-turn', 'machine'), ('worry-seed', 'tutor'), ('seed-bomb', 'tutor'), ('energy-ball', 'machine'), ('captivate', 'machine'), ('grass-knot', 'machine'), ('rage-powder', 31), ('round', 'machine'), ('acrobatics', 'machine'), ('cotton-guard', 'egg')]",[],4,5,2,"[('hoppip', '', 0), ('skiploom', 'level-up(18)', 1), ('jumpluff', 'level-up(27)', 2)]"
187,skiploom,188,45,45,50,65,80,55,grass,flying,"[('swords-dance', 'machine'), ('headbutt', 'tutor'), ('tackle', 1), ('double-edge', 'tutor'), ('tail-whip', 1), ('absorb', 1), ('mega-drain', 36), ('leech-seed', 22), ('solar-beam', 'machine'), ('poison-powder', 13), ('stun-spore', 15), ('sleep-powder', 17), ('toxic', 'machine'), ('mimic', 'tutor'), ('double-team', 'machine'), ('defense-curl', 'tutor'), ('reflect', 'machine'), ('flash', 'machine'), ('splash', 1), ('rest', 'machine'), ('substitute', 'machine'), ('snore', 'tutor'), ('curse', 'machine'), ('cotton-spore', 29), ('protect', 'machine'), ('giga-drain', 'tutor'), ('endure', 'machine'), ('swagger', 'machine'), ('attract', 'machine'), ('sleep-talk', 'machine'), ('return', 'machine'), ('frustration', 'machine'), ('sweet-scent', 'machine'), ('synthesis', 'tutor'), ('hidden-power', 'machine'), ('sunny-day', 'machine'), ('psych-up', 'machine'), ('memento', 52), ('facade', 'machine'), ('helping-hand', 'tutor'), ('secret-power', 'machine'), ('silver-wind', 'machine'), ('bullet-seed', 'machine'), ('aerial-ace', 'machine'), ('bounce', 'tutor'), ('natural-gift', 'machine'), ('u-turn', 'machine'), ('worry-seed', 'tutor'), ('seed-bomb', 'tutor'), ('energy-ball', 'machine'), ('captivate', 'machine'), ('grass-knot', 'machine'), ('rage-powder', 36), ('round', 'machine'), ('acrobatics', 'machine')]",[],6,10,2,"[('hoppip', '', 0), ('skiploom', 'level-up(18)', 1), ('jumpluff', 'level-up(27)', 2)]"
188,jumpluff,189,55,55,70,95,110,75,grass,flying,"[('swords-dance', 'machine'), ('headbutt', 'tutor'), ('tackle', 1), ('double-edge', 'tutor'), ('tail-whip', 1), ('hyper-beam', 'machine'), ('absorb', 1), ('mega-drain', 44), ('leech-seed', 22), ('solar-beam', 'machine'), ('poison-powder', 13), ('stun-spore', 15), ('sleep-powder', 17), ('toxic', 'machine'), ('mimic', 'tutor'), ('double-team', 'machine'), ('defense-curl', 'tutor'), ('reflect', 'machine'), ('flash', 'machine'), ('splash', 1), ('rest', 'machine'), ('substitute', 'machine'), ('snore', 'tutor'), ('curse', 'machine'), ('cotton-spore', 33), ('protect', 'machine'), ('giga-drain', 'tutor'), ('endure', 'machine'), ('swagger', 'machine'), ('attract', 'machine'), ('sleep-talk', 'machine'), ('return', 'machine'), ('frustration', 'machine'), ('sweet-scent', 'machine'), ('synthesis', 'tutor'), ('hidden-power', 'machine'), ('sunny-day', 'machine'), ('psych-up', 'machine'), ('memento', 52), ('facade', 'machine'), ('helping-hand', 'tutor'), ('secret-power', 'machine'), ('silver-wind', 'machine'), ('bullet-seed', 'machine'), ('aerial-ace', 'machine'), ('bounce', 'tutor'), ('natural-gift', 'machine'), ('u-turn', 'machine'), ('worry-seed', 'tutor'), ('seed-bomb', 'tutor'), ('energy-ball', 'machine'), ('giga-impact', 'machine'), ('captivate', 'machine'), ('grass-knot', 'machine'), ('rage-powder', 39), ('round', 'machine'), ('acrobatics', 'machine')]",[],8,30,2,"[('hoppip', '', 0), ('skiploom', 'level-up(18)', 1), ('jumpluff', 'level-up(27)', 2)]"
